month,pants,skirt,coat,jersey,hoodie,scarf,total_units,total_profit
1,250,150,520,920,120,150,2110,21100
2,263,120,510,610,210,120,1833,18330
3,214,134,455,955,355,134,2247,22470
4,340,113,587,887,187,113,2227,22270
5,360,174,456,776,156,174,2096,20960
6,276,155,489,749,189,155,2013,20130
7,298,112,478,898,178,112,2076,20760
8,370,140,586,996,286,140,2518,25180
9,354,178,610,810,210,178,2340,23400
10,199,189,830,1030,230,189,2667,26670
11,234,210,730,1330,240,210,2954,29540
12,290,176,740,1440,180,176,3002,30020